Codigo,Acopio,Productosxbulto
ALM26012,FRA072,1
ALM06018,ALM070,1
ALM14021,ALM110,1
ALM14022,ALM111,1
ALM25031,ALM135,1
ALM25032,ALM136,1
ALM25033,ALM137,1
ALM25034,ALM138,1
ALM25035,ALM139,1
ALM26016,FRA045,1
ALM26017,FRA046,1
ALM26018,FRA047,1
ALM26019,FRA048,1
ALM26020,FRA049,1
ALM26021,FRA050,1
ALM25036,ALM149,12
ALM25037,FRA009,12
CAN02011,#N/D,1
FRE08007,FRE011,1
ALM26013,FRA039,1
ALM25105,ALM184,1
ALM25106,ALM185,1
HIP03007,LIM088,1
TIE00008,TIE,1
TIE00009,TIE,1
TIE00010,TIE,1
TIE00011,TIE,1
TIE00012,TIE,1
ALM14019,FRA088,1
ALM15011,ALM034,1
FRE10020,FRE003,1
ALM36018,ALM030,1
FRE10021,#N/D,1
ALM15004,ALM064,1
ALM15005,ALM065,1
ALM15006,ALM066,1
ALM20013,ALM083,1
ALM39002,PCL,1
FRE10022,FRE009,1
HIP03008,LIM096,1
TIE00013,TIE,1
TIE00014,TIE,1
FRE06019,FRE053,1
ALM20014,ALM125,1
FRE08008,#N/D,1
ALM15007,ALM096,1
FRE14007,FRE034,1
HIP50006,LIM058,1
HIP50007,LIM016,1
HIP50008,LIM036,1
HIP50009,LIM037,1
HIP50010,LIM024,1
HIP50011,LIM025,1
ALM39003,ALM192,1
FRE10024,FRE005,1
CAN01007,FRE023,1
TIE00015,TIE,1
FRE04021,FRZ020,1
ALM36019,ALM210,1
ALM49009,FRA006,1
ALM39004,PCL,1
ALM39005,PCL,1
ALM39006,PCL,1
FRE14008,FRE060,1
FRE14009,FRE059,1
FRE14011,FRE058,1
FRE06021,#N/D,1
ALM39009,FRA053,24
ALM12006,ALM175,20
FRE06020,FRE010,1
ALM25023,FRA104,1
ALM25024,FRA105,1
ALM25025,FRA001,1
ALM25026,FRA002,1
ALM25027,FRA003,1
TIE00020,TIE,1
TIE00016,TIE,1
TIE00021,TIE,1
TIE00019,TIE,1
ALM20021,ALM126,1
CAN02012,FRA014,1
ALM36021,ALM005,1
ALM36022,ALM006,1
ALM36023,ALM032,1
ALM15012,ALM035,1
ALM36024,ALM010,1
TIE1000,TIE,1
TIE1001,TIE,1
ALM20009,ALM079,1
TIE00018,TIE,1
FyV02021,FYV,1
TIE00022,TIE,1
TIE00023,TIE,1
CAN02013,#N/D,1
ALM25028,ALM036,15
ALM25029,ALM156,12
ALM25038,ALM050,24
TIE00017,TIE,1
TIE00024,TIE,1
TIE00025,TIE,1
TIE00026,TIE,1
ALM20015,PCL,8
ALM26024,FRA041,1
ALM26023,FRA040,1
ALM36025,PCL,6
ALM36026,ALM011,1
ALM25039,ALM109,1
LIM16002,LIM049,20
LIM16003,LIM050,1
FRE14012,FRE029,1
FRE14013,FRE032,1
FYV10020,FYV,1
ALM25040,ALM140,14
CAN01002-1,#N/D,1
CAN01002-3,#N/D,1
CAN01002-4,#N/D,1
CAN01002-5,#N/D,1
CAN01003-1,FRE,1
CAN01003-2,#N/D,1
CAN01004-3,#N/D,1
CAN01004-2,#N/D,1
CAN01004-4,#N/D,1
CAN01004-1,#N/D,1
ALM26014,FRA109,1
ALM26015,FRA110,1
ALM26022,#N/D,1
ALM12011,#N/D,1
ALM51000,#N/D,1
ALM51001,#N/D,1
ALM51002,#N/D,1
ALM51003,#N/D,1
FRE10017,#N/D,1
FRE10018,#N/D,1
FRE10019,#N/D,1
ALM12007,#N/D,1
